Feature	Gain	Cover	Frequency
ctrx_quarter	0.222348780324387	0.0181383794646883	0.0143189092025078
mcuentas_saldo	0.0421388161356106	0.0134997581190897	0.0192380200797931
mtarjeta_visa_consumo	0.0321396058664309	0.0122954019913808	0.0160375290455522
mcaja_ahorro	0.0242866825672251	0.00654334380501456	0.0115393046604411
foto_mes	0.0185114724591797	0.0146811691873412	0.0158884650795739
ctarjeta_visa	0.0181139059396841	0.000552832398037343	0.000622561269674251
cpayroll_trx	0.0171587013024941	0.00833270234179131	0.00468236222543733
mcaja_ahorro_lag1	0.0168636110377215	0.00480076719758551	0.00873339471261344
mpayroll	0.0163111317631145	0.0113490720164195	0.00556797755272042
mdescubierto_preacordado	0.0147916148204794	0.00210007090103486	0.00158709281423999
mprestamos_personales	0.0146834001988177	0.0081268871939721	0.00322679644000175
mpasivos_margen	0.0118110476917728	0.00793438535531256	0.0103994037441361
mdescubierto_preacordado_delta1	0.0108844095515422	0.00408789948197609	0.00106975316760928
mcuenta_corriente	0.0103491866109853	0.00648647886153718	0.0102064974352229
cproductos_delta1	0.00921992356601462	0.00413658657014933	0.00149940812837038
Master_status	0.00910307247851682	0.00176117472759931	0.000771625235652593
numero_de_cliente	0.00869234609745743	0.00969164821759708	0.0164934894120742
mrentabilidad_annual	0.00853264733620524	0.00742720015228793	0.0115743785347889
mactivos_margen	0.00842849456804253	0.00792892792847539	0.0127493533254417
cliente_edad	0.00816654661634753	0.00860921989845187	0.0140821605506598
ctrx_quarter_delta1	0.00801166050097518	0.00655659782736457	0.0115393046604411
cliente_edad_lag1	0.00792680519045884	0.00803038149337829	0.0131176290060941
mrentabilidad_annual_delta1	0.00791886366290415	0.00619908323942777	0.0131790082862028
Visa_status	0.00764339895990123	0.0012177717446196	0.000789162172826516
mrentabilidad	0.00656688681082742	0.0047921181641621	0.00846157218641764
Master_Fvencimiento	0.00656220460891167	0.00655709553253072	0.0115393046604411
mprestamos_personales_delta1	0.00651166821212588	0.0095312376449234	0.0034197027489149
Visa_Fvencimiento	0.00644326500627455	0.00792727815898374	0.0117585163751151
Master_fechaalta	0.00640867449819754	0.00846132879975836	0.0113902406944627
Visa_fechaalta	0.006315852843776	0.00541729985220069	0.0110570388881582
