Feature	Gain	Cover	Frequency
ctrx_quarter	0.155550128437218	0.0161670099531717	0.0130841448889512
mtarjeta_visa_consumo	0.0490825125821626	0.0128620394364726	0.0163595600084075
ctrx_quarter_lag1	0.0397859385860132	0.00845993013066881	0.00891543473691585
mcuentas_saldo	0.039575860372181	0.0129022672732886	0.0188642892174035
mcaja_ahorro	0.0380510227141078	0.00794322500231184	0.012873957822462
mdescubierto_preacordado	0.022773200397072	0.00160170525871512	0.00148882505429833
cpayroll_trx	0.0207243534946895	0.00865280833199618	0.00459784207945071
mcuenta_corriente	0.0197907190253314	0.00685029610399645	0.0104830799411476
foto_mes	0.0189968699449798	0.0143891312112112	0.0160180060253626
mpayroll	0.0161655891841117	0.0128318975061645	0.00591151124500806
ctarjeta_visa	0.0158884299270665	0.000366592636929724	0.000674350171652771
mprestamos_personales	0.0152572842724945	0.0078514769337461	0.00330168850276746
Visa_fultimo_cierre_lag1	0.0106638611125481	0.00279371964968641	0.00570132417851888
mdescubierto_preacordado_delta1	0.0100281082653669	0.00433671181689004	0.00102466194913473
mpasivos_margen	0.009857306978647	0.00894581527686544	0.0104568065578365
numero_de_cliente	0.00909563955220126	0.0102821221631791	0.0176819869684019
mactivos_margen	0.00869978543241558	0.00752411625454065	0.0138635885938485
cliente_edad	0.00862269693365451	0.00962144611666747	0.015378687031458
mrentabilidad_annual	0.00853420981201345	0.00705529696939342	0.0109997898129335
ctrx_quarter_delta1	0.00812794325292666	0.00743077950895448	0.0112887970293561
mrentabilidad_annual_delta1	0.00808888223476359	0.00661634357245145	0.0131979962166328
cproductos_delta1	0.00749219231407865	0.00399052058163957	0.00146255167098718
Master_status	0.00747484642269008	0.0018164142807394	0.000831990471519653
cliente_edad_lag1	0.00746091555636622	0.00775992631143079	0.0130053247390177
Visa_fechaalta_lag1	0.00664874584604468	0.00426768338326637	0.00916065298115323
Master_fechaalta	0.00656534479567792	0.00872309904409063	0.0121295452953128
Visa_Fvencimiento	0.0063586483659399	0.00755002013118348	0.0115602886569046
Visa_fechaalta	0.00620823998035206	0.00542466193198283	0.0103955019967771
Master_Fvencimiento	0.00605648397668326	0.00642202232984574	0.0106494780354516
Visa_status	0.00602758434163794	0.00116854369498203	0.00059553002171933
Visa_Fvencimiento_lag1	0.00596268231578068	0.00589054110470794	0.0112362502627338
mprestamos_personales_delta1	0.00584967078368445	0.00922123067917592	0.0034155398304491
Master_Fvencimiento_lag1	0.00582083226739311	0.00423508615526347	0.0108596651019407
mcuenta_corriente_lag1	0.00569323566623763	0.0072027681963086	0.00966860505850207
ctarjeta_visa_trx	0.00560229448022763	0.0076856034101725	0.0110085476073706
mrentabilidad	0.00556960398773938	0.00467238291694068	0.00803089749877391
mcomisiones_mantenimiento	0.00552232915627992	0.00658145841688929	0.00477299796819169
mcaja_ahorro_dolares_delta1	0.00550001123018447	0.00611915462841763	0.00651579906116444
Master_fechaalta_lag1	0.00530150627905036	0.0064787596578505	0.0108158761297555
mcuentas_saldo_delta1	0.00527231603465517	0.00870858904057056	0.0101677993414139
chomebanking_trx	0.00524618705473347	0.00541373427690566	0.00900301268128635
mcaja_ahorro_lag1	0.00523535676228258	0.00510391975823321	0.00954599593638338
mrentabilidad_annual_lag1	0.00489848721286512	0.00671446471619196	0.00916065298115323
mcaja_ahorro_delta1	0.00477941153935087	0.00744242302148379	0.00794331955440342
ccaja_ahorro	0.00467269723652869	0.00370962864788447	0.00287255657535206
Visa_mpagominimo	0.00464652355581897	0.00651599335237903	0.00953723814194633
mrentabilidad_delta1	0.004498859534713	0.00492259843797954	0.00846878722062636
mcuenta_corriente_delta1	0.00444027924138197	0.00822752716954193	0.00832866250963357
mactivos_margen_delta1	0.00440562123934086	0.00436844089362747	0.00789953058221818
cliente_antiguedad_lag1	0.00438702033876223	0.00497090274479291	0.00860015413718209
mtransferencias_recibidas	0.00426932864372594	0.00430092927577262	0.0068485952497723
mcuentas_saldo_lag1	0.00418020833609298	0.00671954352354221	0.00775940587122539
Visa_mpagospesos_lag1	0.00417357964328363	0.00590403716816135	0.00801338190989981
Visa_mpagominimo_lag1	0.00408107157880671	0.00530169125927087	0.00696244657745393
Visa_mfinanciacion_limite	0.00404300577176776	0.00443095620299175	0.00610418272262313
Master_mfinanciacion_limite	0.00398301103734835	0.00453020983107874	0.00719014923281721
mactivos_margen_lag1	0.00388862972245353	0.0063905236835967	0.00752294542142507
cliente_antiguedad	0.00386619302984738	0.00402115505615998	0.00827611574301128
chomebanking_trx_delta1	0.00378859112137893	0.00614040627344661	0.00705002452182442
mcomisiones_otras	0.00371839986659192	0.00369932011690265	0.00569256638408183
mcaja_ahorro_dolares_lag1	0.00365628453934309	0.00464883132921239	0.00660337700553493
ccomisiones_mantenimiento_delta1	0.00356377554729229	0.00484126420506252	0.00141876269880193
Visa_fultimo_cierre	0.00354980687708907	0.00442856771559797	0.00639318993904575
Visa_mpagospesos_delta1	0.00353878585995485	0.00500141959338816	0.00807468647095915
cproductos	0.00352774627476588	0.00654498703325244	0.00705002452182442
Master_mfinanciacion_limite_lag1	0.00350009977890117	0.00501101211385873	0.00611294051706018
mrentabilidad_lag1	0.00349114288002428	0.00298266698697999	0.00656834582778673
mtransferencias_recibidas_lag1	0.00330093561373476	0.00508000350717805	0.00685735304420935
mcomisiones	0.00318922338753362	0.00285492354860597	0.0051145519512366
chomebanking_trx_lag1	0.00314923968407409	0.00308741428913179	0.00658586141666083
thomebanking	0.00313715733009202	0.00147950095296124	0.00157640299866882
mpasivos_margen_delta1	0.0031082912086397	0.00393309839065221	0.00649828347229034
Visa_mpagospesos	0.0031053402660008	0.00444456897401568	0.00659461921109788
Visa_Finiciomora	0.00309181628110632	0.00593103113177749	0.0012873957822462
mprestamos_personales_lag1	0.00307979032929334	0.00269847525189695	0.00166398094303931
Visa_msaldototal	0.00298065332415787	0.00261239258971616	0.00437013942408744
Visa_mconsumospesos_lag1	0.00292987215578226	0.00270207466643049	0.0059377846283192
mpasivos_margen_lag1	0.00292811700738536	0.00441593031374527	0.00649828347229034
Visa_cconsumos_lag1	0.00290467645550019	0.00467132879885795	0.00560498843971134
cprestamos_personales	0.00284916378066211	0.00294134095105783	0.000980872976949485
Master_fultimo_cierre	0.00281348786279662	0.00265404594254262	0.0059553002171933
Master_fultimo_cierre_lag1	0.00281218839065244	0.00397485100231077	0.00604287816156379
Visa_mconsumospesos	0.0028022530715384	0.00257768475313162	0.00594654242275625
mcaja_ahorro_dolares	0.00279981985371678	0.00483107498365605	0.00564001961745954
Visa_mfinanciacion_limite_lag1	0.0027898511012208	0.0027164384985016	0.00493939606249562
Visa_mpagominimo_delta1	0.00274625758650237	0.00347142451694307	0.00542107475653332
Visa_mlimitecompra_lag1	0.00266926774612722	0.00327695465394265	0.00445771736845793
mcuenta_debitos_automaticos	0.00259896181207508	0.00775089375770999	0.00368703145799762
ccomisiones_otras	0.00259066539090644	0.00508273140314574	0.00479051355706579
ctarjeta_master_delta1	0.00254010774917176	0.000114904840322723	2.62733833111469e-05
mtarjeta_visa_debitos_automaticos_lag1	0.00242499180814414	0.00494229836976289	0.00444020177958383
Visa_mconsumosdolares_lag1	0.00242338328127533	0.00414278248213257	0.00528095004554053
Visa_cconsumos	0.00232269813335749	0.00323291725243657	0.00481678694037694
mcomisiones_lag1	0.00223462769757356	0.00157850356410969	0.00405485882435367
Visa_mconsumospesos_delta1	0.00222058340606118	0.0034149928479787	0.00519337210117004
ccomisiones_mantenimiento	0.00221550605745945	0.00305960199499012	0.00118230224900161
mpayroll_lag1	0.00217137059732731	0.00563841341622207	0.00455405310726547
mtransferencias_recibidas_delta1	0.00216442426980736	0.00300478670674489	0.00483430252925103
cmobile_app_trx	0.00216291811185322	0.0028914646506669	0.00465914664051006
Visa_mlimitecompra	0.00215165914901999	0.00235773957899319	0.00367827366356057
tcallcenter	0.00214592465446984	0.000997159048605206	0.00114727107125342
ccomisiones_otras_lag1	0.00209593956933521	0.00453908197885345	0.00436138162965039
mcomisiones_mantenimiento_lag1	0.00209179993161614	0.00702029533584941	0.00401982764660548
Visa_msaldopesos	0.00205847182420172	0.00245783694541777	0.00472920899600645
mtransferencias_emitidas	0.00205395201897973	0.00818499403295773	0.00584144888951167
mcomisiones_otras_lag1	0.00200250438959601	0.0013958320329272	0.00394100749667204
mtarjeta_visa_debitos_automaticos_delta1	0.00197237058108305	0.00418798948481902	0.00324038394170812
cmobile_app_trx_lag1	0.00197010031575666	0.00524838880725763	0.00461535766832481
mtarjeta_visa_debitos_automaticos	0.00196819763265777	0.00267751059269708	0.00392349190779794
mtransferencias_emitidas_delta1	0.00196126692885083	0.00319675925732512	0.00390597631892384
Master_mlimitecompra	0.0019586496534653	0.00210686016406964	0.00342429762488615
Master_mlimitecompra_lag1	0.00190818298694404	0.00245790895972849	0.00328417291389337
Visa_Finiciomora_lag1	0.00187960507752501	0.00430907691825554	0.000875779443704897
mtransferencias_emitidas_lag1	0.00187008238746982	0.0026685025284337	0.00450150634064317
cproductos_lag1	0.00186143647863241	0.00341834392410812	0.00410740559097597
mautoservicio	0.00185552495050755	0.00601306071222607	0.00359945351362713
ccallcenter_trx_delta1	0.00183314075346268	0.00300023197378339	0.00129615357668325
mpayroll_delta1	0.00179198742947959	0.00825262557262438	0.00451026413508022
Visa_msaldototal_delta1	0.0017853078518935	0.00301801912588329	0.00389721852448679
Visa_msaldototal_lag1	0.0017841425410125	0.00156451633397594	0.00296013451972255
Visa_msaldopesos_lag1	0.0017530670301405	0.00229097022128676	0.00326665732501927
Visa_msaldopesos_delta1	0.00175293088863218	0.00235693157995751	0.00342429762488615
ccaja_ahorro_delta1	0.00173729684788913	0.00539708488969148	0.000551741049534085
mcomisiones_otras_delta1	0.00173403205808053	0.00145534723069869	0.00345932880263434
ctarjeta_visa_trx_lag1	0.00170398307700622	0.00477026605376691	0.00421249912422056
Visa_mconsumosdolares	0.00168803472623966	0.00304621246067647	0.00365200028024942
mpagomiscuentas	0.00166091469363101	0.00330340533425189	0.00290758775310026
mtarjeta_visa_consumo_lag1	0.00165793602112695	0.00451956839653514	0.00329293070833041
mcomisiones_delta1	0.00158512814453452	0.00329671313083514	0.00322286835283402
ctransferencias_recibidas_lag1	0.0015158956311411	0.00273084396265031	0.0033805086527009
ctransferencias_recibidas	0.00150458405021818	0.00292798684992789	0.00309150143627829
internet	0.00148603794344932	0.0032113792338149	0.00204056610383241
mtarjeta_master_consumo	0.00145245966657278	0.00152060589500065	0.0012698801933721
Visa_cconsumos_delta1	0.00141989371115553	0.00287230761954269	0.00297765010859665
ccallcenter_trx	0.00140661855857296	0.00607393155452475	0.00230329993694388
Visa_mconsumosdolares_delta1	0.0013186705082118	0.00221583503533774	0.00292510334197436
ctarjeta_debito	0.00130032563339253	0.00166435327032679	0.00237336229244027
mpagomiscuentas_lag1	0.00129406707790318	0.00389473963514399	0.00280249421985567
ctarjeta_visa_debitos_automaticos_lag1	0.00123508330847959	0.00307098492438659	0.00223323758144749
ctransferencias_emitidas	0.00122397517316821	0.00490742913234805	0.00284628319204092
mtarjeta_visa_consumo_delta1	0.00121748638138076	0.00391606735055008	0.00307398584740419
Master_msaldototal	0.0012042258251583	0.00202748103167966	0.00244342464793666
mautoservicio_lag1	0.00119922166302787	0.00278889974181881	0.00324914173614517
cmobile_app_trx_delta1	0.00118258468862219	0.00276528861409717	0.00281125201429272
Master_mpagospesos_lag1	0.00117889945958392	0.00329528868623852	0.00275870524767043
ccaja_seguridad	0.00117545888326533	0.00290557800150636	0.000639318993904575
Master_mpagominimo_lag1	0.00115744620864899	0.00181250675821972	0.00197926154277307
Visa_fultimo_cierre_delta1	0.00112182328508693	0.00211011634355156	0.00217193302038815
ctransferencias_emitidas_lag1	0.00110099157955064	0.00266078888505396	0.00225951096475864
ctarjeta_debito_trx	0.00109978852616682	0.00162300006641281	0.00267112730329994
mcuenta_debitos_automaticos_lag1	0.00109539433647364	0.00221745838024633	0.00254851818118125
Master_msaldopesos	0.00108941524261654	0.00304864074343856	0.00196174595389897
mcomisiones_mantenimiento_delta1	0.00107449822302021	0.00786972349276125	0.00155012961535767
ccomisiones_otras_delta1	0.00107113511117846	0.00164881639324537	0.00206683948714356
ctarjeta_debito_lag1	0.00106510905643023	0.00160170051388275	0.00196174595389897
Master_fultimo_cierre_delta1	0.00106378459592906	0.00122756902707561	0.00205808169270651
ccaja_seguridad_lag1	0.00106364473672658	0.000695544671690009	0.000332796188607861
mautoservicio_delta1	0.00105233048308911	0.00489733082805225	0.00254851818118125
Master_mpagominimo	0.00104308319990643	0.00408303830793422	0.00228578434806978
ctarjeta_debito_trx_lag1	0.00100090909555441	0.00425967548374985	0.00284628319204092
tcuentas_lag1	0.000987888318341541	0.00350735353562766	0.000455405310726547
Master_mpagospesos_delta1	0.000983900216600495	0.00493563195680598	0.00219820640369929
cplazo_fijo	0.000965898722027035	0.00278199493929985	0.000472920899600645
Master_mpagospesos	0.000955043717786516	0.00370202145711494	0.00261858053667764
mdescubierto_preacordado_lag1	0.000886813387501425	0.000558116265143663	0.000849506060393751
mtarjeta_master_consumo_lag1	0.000880900214498399	0.00152094583928143	0.000831990471519653
internet_lag1	0.000863825922788259	0.00336681175374796	0.00190919918727668
ctarjeta_debito_trx_delta1	0.00085407381215483	0.00319369937615031	0.00217193302038815
ctransferencias_emitidas_delta1	0.000839640312351599	0.00279782408274964	0.00164646535416521
Master_msaldototal_lag1	0.000822700814656068	0.00122859222721835	0.00167273873747635
ctransferencias_recibidas_delta1	0.000818630204257971	0.0017166506597017	0.00196174595389897
ctarjeta_visa_trx_delta1	0.000804269751187495	0.00192110502755047	0.00202305051495831
cprestamos_personales_delta1	0.000771623900618991	0.00208455019183243	0.000324038394170812
ccomisiones_mantenimiento_lag1	0.000748025698979506	0.00167761622475741	0.00119981783787571
ccuenta_debitos_automaticos_lag1	0.000737813316333952	0.00278740136967261	0.00143627828767603
ccajas_consultas_delta1	0.000737432461130782	0.00401049181069337	0.00077068591046031
Visa_mpagado	0.000730033409712778	0.00309448225266079	0.00197050374833602
ccuenta_debitos_automaticos	0.000722082569173991	0.00175330663262383	0.00153261402648357
Master_msaldopesos_lag1	0.000699908311349332	0.00185897290166522	0.00140124710992784
cpagomiscuentas	0.000697175171444469	0.00267770046252162	0.00170776991522455
ctarjeta_visa_debitos_automaticos	0.000685286143208804	0.00092121303202699	0.00145379387655013
mextraccion_autoservicio_delta1	0.000665965207483634	0.00348316927807289	0.00176907447628389
Master_mconsumospesos	0.000650018841721724	0.00156203846006258	0.00197050374833602
Master_status_lag1	0.000641768783458381	0.00258357010545601	0.000385342955230155
