Feature	Gain	Cover	Frequency
ctrx_quarter	0.213775007467116	0.0177629494082892	0.0130835380835381
mtarjeta_visa_consumo	0.0430057628658406	0.0123610154822471	0.0158476658476658
mcuentas_saldo	0.0422645408363329	0.0126630243009974	0.0187346437346437
mcaja_ahorro	0.0242734559298869	0.00771788664743586	0.0126447876447876
cpayroll_trx	0.0191227078639824	0.00816951834607218	0.00471217971217971
foto_mes	0.0190740594552892	0.0145689049778118	0.0162074412074412
ctarjeta_visa	0.018285587136513	0.000606801782046713	0.000737100737100737
mpayroll	0.0160808195830505	0.0126294246418616	0.00593190593190593
mprestamos_personales	0.0152746554194101	0.00817831102782851	0.00331695331695332
mcuenta_corriente	0.0146218354503263	0.00730059152149589	0.0106089856089856
mdescubierto_preacordado	0.0140878219745222	0.0020746347317631	0.00157950157950158
mdescubierto_preacordado_delta1	0.013314988718756	0.00382473677868945	0.000991575991575992
mpasivos_margen	0.0108181597597516	0.00867777746093473	0.0102930852930853
cproductos_delta1	0.0100227963874046	0.00429329192393107	0.0013952263952264
Master_status	0.00973678108817362	0.00147709136763976	0.000684450684450685
mactivos_margen	0.00909965717015625	0.00878183551020037	0.0138820638820639
cliente_edad_lag1	0.00851837355617581	0.0104176200275064	0.0154966654966655
numero_de_cliente	0.00831155208571219	0.0096432374903639	0.0161196911196911
mrentabilidad_annual	0.00827283187206977	0.00800949132184462	0.0118111618111618
Visa_status	0.00794551224542626	0.00105886986697551	0.00057037557037557
mrentabilidad_annual_delta1	0.00788078231822414	0.00654663472059285	0.0128290628290628
ctrx_quarter_delta1	0.00785686640765662	0.00723566087128951	0.0117936117936118
Master_fechaalta	0.0075613263137745	0.00880111196714208	0.0116707616707617
cliente_edad	0.00743451889383348	0.0068872806410246	0.0125394875394875
mprestamos_personales_delta1	0.00703751542344345	0.0085167516141347	0.00323797823797824
Visa_fechaalta_lag1	0.00653857841474062	0.00446130891084631	0.00974025974025974
Visa_Fvencimiento	0.00630602210045175	0.00796091195016306	0.0115391365391365
mdescubierto_preacordado_lag1	0.00627924218549447	0.000805187933749216	0.000965250965250965
Master_Fvencimiento_lag1	0.00595444776956866	0.00478908406169103	0.0111705861705862
Visa_Fvencimiento_lag1	0.00594205486973239	0.00482959708377459	0.0112758862758863
chomebanking_trx	0.00592852721662522	0.00461711047997838	0.00935415935415935
mrentabilidad_annual_lag1	0.00578327278158118	0.00679492291924398	0.00934538434538435
Master_Fvencimiento	0.00571797127774479	0.00607543275732339	0.0104334854334854
Visa_fechaalta	0.00568705122763762	0.00544975954660361	0.0103457353457353
mcuentas_saldo_delta1	0.00567138316943946	0.00826571078343436	0.00999473499473499
mcuenta_corriente_lag1	0.00559438781232959	0.00690615168351511	0.00938925938925939
mcaja_ahorro_dolares_delta1	0.00547912160747318	0.00608487986404544	0.00616005616005616
mrentabilidad	0.00547094699571847	0.00476922524144926	0.0088013338013338
Master_fechaalta_lag1	0.00529406766779067	0.00572026560028085	0.0105036855036855
mcaja_ahorro_lag1	0.00502850673505445	0.00564795191189764	0.00952965952965953
ctarjeta_visa_trx	0.00497944443962356	0.00692332499023656	0.0112846612846613
mcomisiones_mantenimiento	0.00497477902980427	0.00674370870119392	0.00473850473850474
Visa_mpagominimo	0.00484486873633459	0.00615919614071036	0.00914355914355914
mcaja_ahorro_delta1	0.00477146219380123	0.00719456370946611	0.0084942084942085
mactivos_margen_delta1	0.00466175679885407	0.00408049482935683	0.00791505791505792
mcuenta_corriente_delta1	0.00454531382406474	0.00773162300661227	0.00798525798525799
ctrx_quarter_lag1	0.00447179721184527	0.00724322178515335	0.00852053352053352
mprestamos_personales_lag1	0.00438833307407308	0.00229341773324959	0.0015005265005265
ccaja_ahorro	0.00435526907275481	0.00382994699931224	0.00266760266760267
mtransferencias_recibidas	0.004233802212448	0.00432372164214369	0.00651983151983152
mcuentas_saldo_lag1	0.00417852649343043	0.00850332597744585	0.00837135837135837
Visa_mpagospesos_lag1	0.0041376086373508	0.00533258303025712	0.00816075816075816
cliente_antiguedad_lag1	0.00413623948381711	0.00504811331034882	0.00825728325728326
mactivos_margen_lag1	0.00411013726561945	0.00670099250760713	0.00775710775710776
Master_mfinanciacion_limite	0.00410488020486864	0.00431026904991217	0.00737978237978238
mrentabilidad_delta1	0.00409155323001268	0.00411041972972738	0.00746753246753247
cliente_antiguedad	0.004014333271923	0.00356572382693568	0.00813443313443313
Visa_mfinanciacion_limite	0.00384404049424252	0.00397111456652608	0.00603720603720604
Visa_mpagominimo_lag1	0.00375486959874804	0.00550720891378997	0.00695858195858196
cproductos	0.00369973799457507	0.00725240018605034	0.00733590733590734
mrentabilidad_lag1	0.00360174489500388	0.00301966678509398	0.00654615654615655
Visa_mpagospesos_delta1	0.00357719845610517	0.00489606605358938	0.00776588276588277
chomebanking_trx_delta1	0.00351555376600829	0.00672153000507936	0.00708143208143208
ccomisiones_mantenimiento_delta1	0.00351165458086634	0.00501481641833978	0.00141277641277641
Visa_fultimo_cierre	0.0034599820048008	0.00402527952827849	0.0065022815022815
mcaja_ahorro_dolares_lag1	0.00343535532058154	0.00422202548541332	0.00626535626535627
Master_mfinanciacion_limite_lag1	0.00337739489202971	0.00605693268179975	0.00623903123903124
