Feature	Gain	Cover	Frequency
ctrx_quarter	0.208440116847113	0.0170692965878303	0.0137764721357478
mcuentas_saldo	0.0444940322289905	0.0143808479947663	0.0196167843206033
mtarjeta_visa_consumo	0.0334027160817359	0.0113857975447677	0.0152760117507783
mcaja_ahorro	0.0296823123387566	0.00651037811327661	0.0118735475950366
cpayroll_trx	0.0196421900791107	0.0089026391934669	0.00483184987065375
foto_mes	0.0191814142117687	0.0155029743173218	0.0163897049151576
ctarjeta_visa	0.0182928294392095	0.000553591809674392	0.000613846626035866
mprestamos_personales	0.0165308408548643	0.00860922675295032	0.00337615644319726
mpayroll	0.0140591015367257	0.0108131670698765	0.00520015784627527
mdescubierto_preacordado_delta1	0.0133385246674276	0.00326999536071312	0.000876923751479809
mdescubierto_preacordado	0.0133364578901493	0.0016493833980726	0.00142938571491209
mcuenta_corriente	0.0124749395953893	0.00670823224403303	0.0104090849300653
ctrx_quarter_lag1	0.0116383693285872	0.00645331150814698	0.0082869294514842
mpasivos_margen	0.0109219728260694	0.00801771023261886	0.0104003156925505
cproductos_delta1	0.0100106797168509	0.00421501256818414	0.00142061647739729
Master_status	0.0099724422604883	0.00159969131918561	0.000666462051124655
mactivos_margen	0.00918630913235007	0.00805804273115592	0.0136273950979962
cliente_edad	0.00840159305334779	0.00965408636099138	0.0150655500504231
numero_de_cliente	0.00838520770391563	0.0097087009261752	0.0162406278774061
ctrx_quarter_delta1	0.00815965654165216	0.00721862629142784	0.0122857017582321
mrentabilidad_annual_delta1	0.00803699356491292	0.00665088984959884	0.0132941640724339
Visa_status	0.00782219045084969	0.000843407101761755	0.000587538913491472
cliente_edad_lag1	0.00775009372010733	0.00752233098018441	0.0128206252466348
mrentabilidad_annual	0.00771566353347392	0.00783469772322724	0.0115490858069891
Master_fechaalta	0.00765765674841688	0.00858187682885304	0.0118033936949182
mprestamos_personales_delta1	0.00685972669535783	0.00969640452718255	0.00334107949313807
mdescubierto_preacordado_lag1	0.00638428333882212	0.00115075242407981	0.00114877011443855
mcuenta_corriente_lag1	0.00637681718420011	0.00796697780837141	0.0106107773929057
Visa_fechaalta	0.00625676569950362	0.00536640683895188	0.010075853904503
Visa_Fvencimiento	0.00617922430941727	0.00744687008740667	0.0116455474196519
Visa_Fvencimiento_lag1	0.00616969484978298	0.00493331378800114	0.0114000087692375
mrentabilidad_annual_lag1	0.00611543518299241	0.00730414751174008	0.00938308414083395
Master_Fvencimiento	0.00597468418558204	0.00678837311871912	0.011163239356338
Visa_fechaalta_lag1	0.0058653370246582	0.00421410942723575	0.00921646862805279
Master_Fvencimiento_lag1	0.00577791159031595	0.00422765270679387	0.0108738545183496
mcaja_ahorro_dolares_delta1	0.00570314249737882	0.00636950913930683	0.00621738939799185
mcaja_ahorro_lag1	0.00555747686421173	0.0055642786858733	0.00957600736615951
mrentabilidad	0.00546112868434707	0.00464046090220259	0.00855877581444294
chomebanking_trx	0.00545110963003225	0.00474727841002248	0.00913754549041961
mcomisiones_mantenimiento	0.0054177887971092	0.00642002574845334	0.00513000394615688
ctarjeta_visa_trx	0.00527616765403452	0.00743767002923513	0.0113386241066339
mcuentas_saldo_delta1	0.00525947943850855	0.00814838811688389	0.0100846231420178
Master_fechaalta_lag1	0.00518404206906504	0.00649236660216328	0.0106195466304205
mcaja_ahorro_delta1	0.00477306916412584	0.00759891259295865	0.00848862191432455
Visa_mpagominimo	0.00476479823025421	0.00629487661145637	0.00920769939053799
mcuenta_corriente_delta1	0.00463146206516331	0.00750320549808981	0.00813785241373263
cliente_antiguedad_lag1	0.00446964464158919	0.00465429178184193	0.00890954531503486
Visa_mpagospesos_lag1	0.00441868714089564	0.00547254699106048	0.00883939141491647
mactivos_margen_delta1	0.00436709049104615	0.00452232176793199	0.00785723681325909
mactivos_margen_lag1	0.00429862304820761	0.00765641941794595	0.00798000613846626
mrentabilidad_delta1	0.0042676783189529	0.00404530973039133	0.00811154470118823
mtransferencias_recibidas	0.004247656887628	0.00468198276128886	0.00680492831148332
ccaja_ahorro	0.00421723222432768	0.00425843519538055	0.00272723286710221
Master_mfinanciacion_limite	0.00402488721819011	0.00559847441222392	0.00744508265006358
cproductos	0.0039087336359949	0.00694561374648578	0.00775200596308151
cliente_antiguedad	0.00386996238669626	0.00380626007077413	0.00783092910071469
Visa_mfinanciacion_limite	0.00386610992415358	0.00439847887215725	0.00612092778532907
Visa_mpagominimo_lag1	0.00376842434975572	0.00569835799712559	0.00673477441136493
Visa_mpagospesos_delta1	0.00373173772845677	0.00509671642006803	0.0082343140263954
mcuentas_saldo_lag1	0.00371614652592056	0.00738265788569903	0.00762923663787434
chomebanking_trx_delta1	0.00356296454121185	0.00538506464496774	0.00676985136142412
mrentabilidad_lag1	0.00355339527185151	0.00282447261771875	0.0064015433858026
Visa_fultimo_cierre	0.00347017109291113	0.00364031827511015	0.00617354321041785
chomebanking_trx_lag1	0.00341734074642976	0.00323233754293143	0.00727846713728241
mcaja_ahorro_dolares_lag1	0.00340673949130651	0.00428985347188012	0.00614723549787346
mprestamos_personales_lag1	0.00336963165610514	0.00295847278142869	0.0013680010523085
Master_mfinanciacion_limite_lag1	0.00332614382832749	0.00616289225588905	0.00627000482308063
mtransferencias_recibidas_lag1	0.00330643490388047	0.00606265841243512	0.00678738983645372
Visa_mpagospesos	0.00322954455118308	0.00566993344573815	0.00682246678651291
ccomisiones_mantenimiento_delta1	0.00312898441548012	0.00496180306858019	0.0013943087648529
mcomisiones_otras	0.00310859718665889	0.003274778725264	0.00507738852106809
Visa_msaldototal	0.0030571211696546	0.00224592057219528	0.00401631078177752
Visa_Finiciomora	0.00303397964403039	0.00540538922766765	0.00123646248958653
mpasivos_margen_delta1	0.00296516302842414	0.00484877892092746	0.00685754373657211
mcomisiones	0.00296049387838364	0.0033575972717463	0.00520892708379007
mpayroll_lag1	0.00295884472721618	0.006328483409534	0.00445477265751743
Visa_mconsumospesos	0.00291972310428714	0.00261798266180347	0.0064366203358618
Master_fultimo_cierre_lag1	0.00290184975731342	0.00427378030862086	0.00621738939799185
mpasivos_margen_lag1	0.00289518815448461	0.00432930238627431	0.00625246634805104
mcaja_ahorro_dolares	0.00284456598438173	0.00556407468154902	0.00560354277195598
thomebanking	0.00282167903921458	0.00190775694549376	0.00149077037751567
Visa_mpagominimo_delta1	0.00281156237430557	0.00337386684668769	0.00541938878414522
Visa_mconsumospesos_lag1	0.00280188715440582	0.00266012704085222	0.00581400447231113
Visa_cconsumos_lag1	0.00277265785901826	0.0042955655162666	0.00558600429692638
Visa_mfinanciacion_limite_lag1	0.00275330207605078	0.00230514394785402	0.00482308063313895
Master_fultimo_cierre	0.0026767545608461	0.00272789259908337	0.00570000438461876
ccomisiones_mantenimiento	0.00264564916444748	0.00305760454137137	0.00125400096461613
Visa_msaldopesos	0.00262845282906912	0.00419403854615415	0.0054895426842636
ccomisiones_otras	0.00262198428834166	0.00416690083257013	0.00434077256982505
mcuenta_debitos_automaticos	0.00260553284152104	0.00689717890176719	0.00372692594378919
Visa_mlimitecompra_lag1	0.00253116380534921	0.00344521007323589	0.00421800324461788
mtransferencias_emitidas	0.00248151508548528	0.00759004216282687	0.00629631253562503
Visa_fultimo_cierre_lag1	0.00246400668536553	0.00228983488049055	0.0055246196343228
cmobile_app_trx	0.00245312622674553	0.00294214376913718	0.00489323453325733
Visa_cconsumos	0.0024324745153636	0.00319624334927132	0.00485815758319814
mtarjeta_visa_debitos_automaticos_lag1	0.00234440803076551	0.00397765123608374	0.00452492655763581
mcomisiones_mantenimiento_lag1	0.00233588751900816	0.0066936834378976	0.00440215723242864
Visa_msaldototal_lag1	0.00228342446998524	0.00212697868857798	0.00363923356864121
Visa_mlimitecompra	0.00225942273018946	0.00272019902848395	0.00376200289384838
