Feature	Gain	Cover	Frequency
Visa_cconsumos	0.00235253815883342	0.00256738403185582	0.00491751547132764
cmobile_app_trx	0.00234499967965275	0.0029680444716711	0.00472467172735401
Visa_mlimitecompra_lag1	0.00227979085610157	0.00321093133919492	0.00362020301186866
Visa_msaldopesos	0.00226169826288894	0.00288114924330225	0.00478603110043653
mtransferencias_emitidas	0.0022578150763167	0.00919361937451047	0.00619729668133448
Visa_mconsumosdolares_lag1	0.00224662469855142	0.0031937672195659	0.00497010921968409
mcomisiones_lag1	0.00222938892344788	0.00162072899908305	0.00422503111796778
Visa_mconsumospesos_delta1	0.00217996230840769	0.00318911189715804	0.00503146859276661
mtarjeta_visa_debitos_automaticos_lag1	0.00214606825754624	0.00501336396723969	0.00399712487508985
mcomisiones_otras_lag1	0.00212991685768889	0.00164532932629541	0.00391823425255518
mtransferencias_recibidas_delta1	0.00211759063860856	0.00319237174457095	0.00471590610262794
mtransferencias_emitidas_lag1	0.00210344323132678	0.00352202169175519	0.00508406234112305
mpayroll_lag1	0.00208042708679818	0.00637803133355176	0.00457565610701075
cmobile_app_trx_lag1	0.00207026290357874	0.00288511623996658	0.00443540611139356
Visa_mlimitecompra	0.00207011726535399	0.00230838193666087	0.00353254676460791
tcallcenter	0.00203555105651615	0.000856191635614877	0.00103434371767676
Master_mlimitecompra	0.00203189023817677	0.00261838252336042	0.00359390613769043
Visa_Finiciomora_lag1	0.00202862153430183	0.00431654282886093	0.000841499973703126
Visa_msaldopesos_delta1	0.0020260899361563	0.00263756037418018	0.00366403113549903
ccallcenter_trx_delta1	0.00202604913589897	0.00240151527554368	0.0011921249627461
ccomisiones_otras_lag1	0.00196683211186881	0.00403164619424804	0.0039795936256377
mtransferencias_emitidas_delta1	0.00196083701863166	0.00342405140282107	0.00383057800529444
mtarjeta_visa_debitos_automaticos	0.00192252422706861	0.00280238377274409	0.00383057800529444
Visa_msaldototal_lag1	0.0019142746381095	0.00151241185043165	0.00274364053926123
Visa_msaldototal_delta1	0.00183519740636882	0.00273903974913778	0.00411984362125489
Master_mlimitecompra_lag1	0.00182856795998706	0.00230328345509588	0.00308549990357813
mcomisiones_otras_delta1	0.00181611824507012	0.00214666641449517	0.00362896863659473
mcomisiones_delta1	0.00181508101826657	0.00312522268329879	0.00385687487947266
ctarjeta_debito_trx	0.00181055313648135	0.00152992631779931	0.00288389053487842
mautoservicio	0.00178837620360485	0.00570606552329426	0.00398835925036377
Visa_mconsumosdolares	0.00177913272040113	0.00266186720833078	0.00378674988166407
mtarjeta_visa_debitos_automaticos_delta1	0.00177743505724116	0.00451774476926038	0.00299784365631739
cprestamos_personales	0.00176847823951077	0.00283832130668055	0.000990515594046388
mpayroll_delta1	0.00173835982703067	0.00812801890271844	0.00447046861029786
cproductos_lag1	0.00169435643170544	0.00296351246244756	0.00364649988604688
ccaja_ahorro_delta1	0.00169138481332014	0.00540303332238406	0.000560999982468751
ctransferencias_recibidas	0.00164620259890486	0.00324682723092209	0.00305920302939991
Visa_msaldopesos_lag1	0.0016460811157393	0.00244926813330458	0.00345365614207325
ccallcenter_trx	0.0016001068247994	0.00631245338212774	0.00248067179747901
mpagomiscuentas	0.00158329006155964	0.00344792114743545	0.00290142178433057
ctransferencias_recibidas_lag1	0.00156969186701043	0.00213793760814979	0.00346242176679932
ctarjeta_visa_trx_lag1	0.00156354105991259	0.00403979185600214	0.00381304675584229
internet	0.00154808366447794	0.00309597218133175	0.00217387493206641
Visa_cconsumos_delta1	0.00153161595640713	0.00307264570620419	0.00314685927666065
Master_mpagospesos_lag1	0.00141591870223679	0.003795335645735	0.00299784365631739
ccaja_seguridad_lag1	0.0013713581381485	0.000564175489335026	0.000315562490138672
mtarjeta_master_consumo	0.0013525343423665	0.00126463348309896	0.00127978121000684
cmobile_app_trx_delta1	0.00133150973452647	0.00242470768119668	0.00295401553268701
mtarjeta_visa_consumo_delta1	0.00133022968347287	0.00334024322974579	0.00298907803159131
ctarjeta_visa_debitos_automaticos_lag1	0.00132086473851109	0.00314872156639247	0.00226153117932715
mpagomiscuentas_lag1	0.0012967688481862	0.00349296918235887	0.00262968741782227
Visa_mconsumosdolares_delta1	0.00126720917737255	0.00208588953321151	0.00268228116617871
Master_mpagominimo_lag1	0.00126080625463963	0.00176842792263047	0.00205992181062744
cpayroll_trx_lag1	0.00125928217599688	0.000868606468957881	0.000666187479181641
ctarjeta_debito	0.00122390711936606	0.00158040481950233	0.00237548430076612
Master_mpagominimo	0.00117569790497602	0.00447644207459209	0.00246314054802686
ctarjeta_debito_lag1	0.00117039641418413	0.00207124384527657	0.00235795305131397
Master_msaldopesos	0.00116821249780255	0.00324346934760687	0.00181448431829737
Master_fultimo_cierre_delta1	0.00116522419947094	0.00142316068718171	0.00211251555898389
mcomisiones_mantenimiento_delta1	0.00112898535596322	0.00780500228288315	0.00152521870233692
Master_msaldototal	0.00112661365935135	0.0027063805019689	0.00269981241563086
mautoservicio_delta1	0.00111859448735875	0.00462985781273094	0.00273487491453516
mcuenta_debitos_automaticos_lag1	0.0011044725473493	0.00223360436070233	0.00242807804912256
Visa_fultimo_cierre_delta1	0.00108487003648106	0.00176145193060732	0.00195473431391455
Master_status_lag1	0.00108056047766157	0.00216399072601785	0.000376921863221192
mautoservicio_lag1	0.00107857416798069	0.00282627080425347	0.0031293280272085
ctarjeta_debito_trx_lag1	0.00105310371033635	0.00423498279727259	0.00305043740467383
ccaja_seguridad	0.00104072173421996	0.00312002585850892	0.000596062481373048
ctransferencias_emitidas	0.00103941017330234	0.00559407909672573	0.0025507967952876
ccomisiones_otras_delta1	0.00100545653683529	0.00160467431395974	0.0019372030644624
cplazo_fijo	0.00097762902391953	0.00271572917795362	0.000403218737399414
ctarjeta_master	0.000947646217685764	0.000462675677426009	0.000333093739590821
ctransferencias_emitidas_lag1	0.000942109659468018	0.00306026506249797	0.00212128118370996
ctarjeta_visa_trx_delta1	0.000892361375251213	0.00185475913723849	0.00186707806665381
mdescubierto_preacordado_lag1	0.000879937764522831	0.000936772537470488	0.00102557809295068
tcuentas_lag1	0.000876406783037253	0.00462897625791665	0.000569765607194825
Master_msaldototal_lag1	0.000862048572422098	0.0013959615634212	0.00184954681720166
internet_lag1	0.00086054520158866	0.003152937878498	0.00177942181939307
cprestamos_personales_delta1	0.000849654423588406	0.00182916969230963	0.000385687487947266
Master_mpagospesos_delta1	0.000842671294822176	0.0048010728294364	0.002007328062271
ctarjeta_debito_trx_delta1	0.000841562842319522	0.00287680984850432	0.00195473431391455
Visa_mpagado	0.000819516310754918	0.0026495777625995	0.0017005311968584
mextraccion_autoservicio_lag1	0.000815148499680053	0.00127167739341179	0.00228782805350537
ctransferencias_emitidas_delta1	0.000809622336709569	0.0031352568422932	0.00164793744850196
Master_msaldopesos_lag1	0.000801383197746645	0.00145773916384868	0.00154274995178906
Master_mpagospesos	0.000786949989416975	0.00363095002818311	0.00303290615522168
